"icao","counts","latitude","longitude"
"enor",70,69.7524,30.8659
"enor",71,69.7527,30.8666
"enor",72,69.7536,30.8672
"enor",73,69.7556,30.8668
"enor",74,69.7561,30.8675
"enor",75,69.7562,30.8703
"enor",76,69.756,30.8715
"enor",77,69.7556,30.8722
"enor",78,69.7549,30.8721
"enor",79,69.7537,30.8698
"enor",80,69.7533,30.8698
"enor",81,69.7526,30.8707
"enor",82,69.751,30.8764
"enor",83,69.7505,30.8772
"enor",84,69.7501,30.8767
"enor",85,69.7501,30.8754
"enor",86,69.7502,30.8746
"enor",87,69.7514,30.8728
"enor",88,69.7516,30.8713
"enor",89,69.7516,30.8692
"enor",90,69.7512,30.868
"enor",91,69.7507,30.868
"enor",92,69.7497,30.8702
"enor",93,69.7489,30.871
"enor",94,69.7475,30.8712
"enor",95,69.7465,30.8698
"enor",96,69.7461,30.8699
"enor",97,69.7451,30.8724
"enor",98,69.7445,30.8734
"enor",99,69.7436,30.8735
"enor",100,69.7416,30.8727
"enor",101,69.7412,30.8748
"enor",102,69.7413,30.8753
"enor",103,69.7418,30.8758
"enor",104,69.7419,30.8766
"enor",105,69.7418,30.8776
"enor",106,69.7404,30.8795
"enor",107,69.7387,30.8787
"enor",108,69.7379,30.8794
"enor",109,69.7377,30.8802
"enor",110,69.7377,30.8818
"enor",111,69.7388,30.8834
"enor",112,69.7389,30.8861
"enor",113,69.7384,30.8882
"enor",114,69.7377,30.8897
"enor",115,69.7371,30.8904
"enor",116,69.7367,30.89
"enor",117,69.7357,30.8883
"enor",118,69.7353,30.8883
"enor",119,69.735,30.8891
"enor",120,69.7349,30.8903
"enor",121,69.734,30.8917
"enor",122,69.7322,30.8907
"enor",123,69.7315,30.8892
"enor",124,69.7313,30.8859
"enor",125,69.731,30.8853
"enor",126,69.7305,30.8856
"enor",127,69.7301,30.8866
"enor",128,69.7296,30.8901
"enor",129,69.7296,30.8919
"enor",130,69.7292,30.893
"enor",131,69.7286,30.8927
"enor",132,69.7284,30.8922
"enor",133,69.7282,30.8909
"enor",134,69.7278,30.8902
"enor",135,69.725,30.888
"enor",136,69.7237,30.8882
"enor",137,69.7218,30.8904
"enor",138,69.7215,30.8904
"enor",139,69.7212,30.8895
"enor",140,69.7205,30.8905
"enor",141,69.7198,30.8906
"enor",142,69.7195,30.8896
"enor",143,69.7192,30.8871
"enor",144,69.719,30.8866
"enor",145,69.7178,30.8845
"enor",146,69.7176,30.8836
"enor",147,69.7177,30.8825
"enor",148,69.7184,30.8808
"enor",149,69.7186,30.8788
"enor",150,69.7185,30.878
"enor",151,69.7174,30.8775
"enor",152,69.717,30.8767
"enor",153,69.7162,30.8742
"enor",154,69.7151,30.8738
"enor",155,69.7147,30.8742
"enor",156,69.7141,30.8754
"enor",157,69.7133,30.8793
"enor",158,69.7127,30.881
"enor",159,69.7121,30.8813
"enor",160,69.7113,30.881
"enor",161,69.7097,30.8816
"enor",162,69.7092,30.8825
"enor",163,69.7083,30.8852
"enor",164,69.7068,30.8861
"enor",165,69.7066,30.8876
"enor",166,69.7066,30.8904
"enor",167,69.7049,30.8929
"enor",168,69.7044,30.8941
"enor",169,69.7042,30.8989
"enor",170,69.7034,30.8994
"enor",171,69.7029,30.8979
"enor",172,69.7026,30.8956
"enor",173,69.7027,30.8946
"enor",174,69.7032,30.8925
"enor",175,69.703,30.8912
"enor",176,69.7024,30.8907
"enor",177,69.7014,30.8912
"enor",178,69.6998,30.8949
"enor",179,69.6996,30.8964
"enor",180,69.6998,30.8976
"enor",181,69.7014,30.8987
"enor",182,69.7016,30.8995
"enor",183,69.7017,30.9023
"enor",184,69.7008,30.9059
"enor",185,69.7008,30.9077
"enor",186,69.7005,30.9088
"enor",187,69.7,30.9094
"enor",188,69.6987,30.909
